Blog	four	looking	second	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	best	asked	much	life	things	big	had	easy	possible	right	old	support	happy	offer	team	along	love	working	following	such	data	st	years	didn	internet	million	quite	open	city	future	saw	note	take	going	where	many	photos	being	rest	around	traffic	world	favorite	her	am	having	original	tv	th	large	small	past	full	pick	via	company	learn	information	its	always	found	really	major	number	self	also	play	sometimes	set	see	movie	available	whole	community	read	recent	person	amp	d	continue	anything	into	next	link	line	posted	us	ago	results	try	video	let	great	makes	tools	process	high	doing	books	could	david	start	system	haven	face	fact	should	hope	means	stuff	edition	email	ve	site	android	less	web	five	become	problem	told	word	work	interview	after	order	office	them	network	another	john	do	away	com	photo	thanks	night	security	comments	post	months	book	people	way	update	together	change	live	december	write	remember	still	non	half	now	space	shows	care	yourself	ways	mostly	than	online	only	between	article	comes	learning	actually	these	media	real	rules	early	using	business	aren	lot	trying	month	very	learned	family	takes	history	help	soon	event	since	reason	put	american	off	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	design	used	game	popular	within	similar	doesn	e	youtube	go	does	facebook	click	products	started	control	links	software	including	him	front	keep	art	long	need	able	based	course	she	computer	written	attention	key	police	well	page	twitter	home	noticed	north	he	friends	companies	even	ever	never	call	tell	give	amazing	before	personal	better	weeks	went	side	content	isn	user	mind	seen	don	m	stop	bad	said	against	appeared	three	tiny	website	say	if	make	left	human	yes	yet	save	down	digital	daily	finally	did	run	making	may	man	maybe	talk	nbsp	group	interesting	earlier	thing	think	first	little	anyone	were	show	enough	get	nearly	morning	behind	reading	according	among	those	then	different	pay	same	money	audience	either	videos	general	again	important	u	public	search	two	share	needs	technology	coming	already	through	house	hard	idea	done	least	part	believe	build	most	find	giant	please	point	simple	simply	create	understand	talking	itself	spent	source	bit	google	often	back	use	forward	single	entire	others	later	ll	day	red	text	national	taking	almost	thought	latest	add	smart	works	actual	buy	minutes	special	under	every	school	changes	would	phone	me	times	end	over	writing	each	got	free	days	top	too	tool	took	though	watch	amazon	report	however	news	several	social	everything	christmas	check	no	when	posts	iphone	today	happened	name	turn	place	given	white	any	sure	state	come	case	myself	good	week	without	seems	blog	everyone	there	program	far	sony	list	version	known	short	might	feel	says	story	kind	nothing	his	hit	wrote	c	political	questions	customers	question	called	users	once	issues	apple	app	few	something	six	instead	looks	our	york	their	which	who	why	looked	local	words	view	stories	job	last	will	gets	other	know	january	because	lead	stay	getting	own	apps	made	happen
SimpleBits	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	1	0	1	0	2	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	3	0	0	0	9	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	4	0	0	0	0	1	0	1	0	2	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	2	0
Publishing 2.0	0	1	2	0	0	0	2	1	1	0	8	0	1	0	2	0	3	1	3	0	1	4	5	1	0	6	1	1	0	1	1	1	0	0	0	0	1	1	2	0	4	1	1	2	1	21	1	0	1	3	4	6	0	2	0	4	2	2	0	0	6	0	2	2	0	0	0	0	5	0	0	3	0	3	4	0	1	0	2	2	0	1	1	1	2	2	0	0	0	0	1	3	0	0	1	2	0	1	2	14	0	2	6	1	1	0	0	1	5	0	1	0	2	2	0	5	0	2	0	2	0	1	4	1	0	1	2	0	6	11	0	1	22	1	3	1	0	0	1	0	0	0	0	1	2	0	0	2	5	10	1	0	0	0	0	9	1	2	5	4	1	1	2	0	1	0	0	1	0	0	7	2	1	2	0	0	0	3	9	1	0	5	2	0	1	5	14	0	1	0	2	7	0	3	2	0	2	0	0	0	1	2	0	0	2	1	3	0	1	0	0	0	0	0	0	2	0	2	1	0	2	0	2	2	0	0	1	2	1	3	1	0	4	0	0	2	2	9	0	0	0	2	2	0	1	2	0	1	1	0	0	0	1	0	0	2	13	7	0	1	0	8	0	8	0	0	0	0	1	0	0	0	0	0	1	0	0	15	2	2	3	0	6	5	1	0	1	0	2	3	0	0	1	10	4	2	2	0	1	0	2	2	2	1	0	0	3	3	0	0	1	0	0	2	1	1	2	9	0	3	0	1	3	6	0	0	1	8	1	0	2	2	0	1	0	3	1	0	0	2	0	7	1	0	1	4	1	3	4	0	1	5	1	1	1	0	1	0	1	0	13	1	0	0	0	2	0	1	1	0	0	0	0	1	9	2	2	2	0	0	1	1	0	2	0	0	3	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	2	0	1	4	2	4	1	1	3	2	3	1	2	0	0	1	0	0	3	0	57	1	1	2	0	0	5	3	0	0	5	1	1	0	0	0	0	3	1	2	2	2	0	1	5	1	1	6	1	11	2	0	0	0	0	0	0	1	0	0	4	5	1	4	0	1	0	6	1	0	4	4	1	0	0	0	0	4	0	0	1	1	7	5	6	12	2	9	0	3	0	0	10	0	5	14	2	7	2	0	5	2	0	0	2	0	0	4
mezzoblue	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	1	1	0	0	0	2	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	5	2	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
Eschaton	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	2	2	0	1	0	0	3	0	0	1	0	0	1	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	0	2	0	0	0	0	1	9	1	0	0	0	1	1	0	1	2	0	0	2	0	0	0	0	0	2	0	2	5	0	0	0	3	3	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	3	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	5	0	1	0	0	1	0	0	0	0	1	6	2	0	0	0	0	1	1	0	0	1	2	0	0	0	0	4	1	0	0	0	0	2	2	0	2	0	3	0	0	1	1	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	2	1	1	1	0	0	0	0	1	0	0	0	4	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	0	0	0	1	1	1	0	0	3	0	3	0	0	0	1	0	0	1
PerezHilton	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	3	2	1	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	1	0	2	2	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	4	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	2	0	4	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0
Slashdot	0	2	0	0	0	0	1	4	0	1	10	0	3	0	0	0	2	0	3	2	0	4	6	0	0	1	0	1	0	0	0	0	0	0	6	2	5	0	6	1	0	1	0	5	0	0	1	0	2	3	3	3	0	2	2	1	0	1	0	0	0	1	0	0	1	1	2	2	0	0	0	5	0	2	4	0	3	1	2	4	0	2	0	0	2	2	2	3	0	0	20	2	1	2	1	0	1	6	1	0	2	0	0	2	1	0	0	1	0	0	1	1	3	1	4	8	1	1	2	0	0	2	5	0	2	1	0	0	0	0	1	1	0	3	0	1	2	1	3	0	1	0	3	7	5	2	0	4	0	1	0	1	0	2	0	3	1	0	7	2	1	0	1	3	1	0	0	0	1	0	6	4	0	0	0	2	0	4	1	9	3	1	0	0	3	3	2	0	3	0	3	0	1	3	1	2	2	1	0	0	0	1	0	0	5	0	0	1	1	3	1	3	2	0	1	1	2	2	0	2	2	0	3	0	0	0	0	1	2	0	0	2	0	0	0	1	0	0	3	3	1	0	1	0	0	2	0	2	1	0	4	0	2	1	5	2	1	3	1	0	2	8	0	0	0	1	2	0	0	1	0	2	0	1	0	0	4	1	0	4	0	0	8	6	0	2	3	3	1	1	0	0	2	10	2	0	0	0	3	0	0	2	2	0	0	0	1	5	1	0	1	0	2	0	2	0	4	4	0	0	4	0	3	4	2	0	1	4	8	2	3	4	0	1	1	0	0	1	0	0	2	0	3	0	1	10	0	0	0	1	3	1	1	1	0	0	3	1	1	0	3	2	0	0	1	0	3	0	0	0	2	0	4	1	7	2	1	5	1	0	0	3	0	1	4	0	1	2	1	1	0	2	1	0	1	1	0	0	0	3	1	1	0	3	2	1	1	6	9	0	1	2	0	1	0	1	1	1	1	0	0	3	2	0	0	0	2	3	0	5	4	0	3	1	1	1	2	1	2	0	1	0	0	3	3	0	4	3	0	2	1	0	10	1	1	1	2	0	2	0	0	0	1	21	1	0	3	3	0	0	1	1	1	1	4	2	0	0	5	4	2	2	1	0	2	0	0	10	7	3	1	2	0	0	0	0	2	3	7	1	4	3	1	2	0	0	1	1	0	3	0
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	2	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	3	0	0	2	0	0	0	0	1	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	15	0	0	1	0	0	0	0	0	0	1	0	4	2	1	0	1	0	0	1	0	2	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	0	0	0	1	0	0	0	0	0	2	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	3	3	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
Gothamist	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	3	0	1	3	1	0	0	0	0	1	5	0	2	0	1	1	3	2	1	0	0	0	1	0	0	2	0	0	1	0	4	0	1	0	0	0	0	0	0	0	3	0	0	1	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	3	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	2	1	0	1	0	1	3	0	1	0	0	0	0	1	2	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	1	3	0	1	1	3	0	0	1	1	0	0	3	4	0	0	1	0	0	0	1	0	0	2	2	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	3	3	0	4	4	0	0	9	0	0	1	0	2	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	3	3	0	0	3	0	0	1	0	1	2	1	0	0	0	1	0	0	1	0	0	2	1	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	2	0	0	2	1	0	0	0	0	1	0	0	0	0	3	4	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	5	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	4	2	3	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	3	0	0	0	0	0	1	2	0	0	0	0	1	2	8	2	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	3	5	1	5	0	1	0	0	0	2	0	3	0	1	0	2	4	0	0	0	0	1	0	1	0
we make money not art	0	2	0	1	2	0	1	0	0	0	0	0	0	0	3	1	1	0	1	2	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	2	2	1	1	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	6	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	16	0	3	1	0	1	0	7	1	0	0	0	0	1	0	1	1	1	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	1	0	0	1	2	0	0	1	1	0	0	0	0	0	1	0	0	1	2	1	1	2	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	1	0	1	0	0	0	0	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	7	0	0	0	0	0	13	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	2	0	1	1	1	1	0	4	0	1	0	1	6	0	1	0	0	0	2	0	0	1	0	1	1	0	0	0	1	2	1	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	0	2	2	0	0	0	0	1	1	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	1	0	1	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	5	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	2	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	3	0	1	0	1	4	0	5	3	5	2	2	1	0	0	0	0	1	3	0	2	0	0	1	0	0	0	0	0	3	0
BuzzMachine	0	0	3	0	0	0	0	1	0	0	1	0	3	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	3	0	0	1	0	2	0	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	4	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	6	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	1	2	0	2	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	3	0	0	3	1	0	1	0	0	1	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	1	5	0	1	0	0	1	0	0	0	1	0	0	0
Techdirt.	1	2	4	0	1	2	8	4	3	1	22	5	15	0	2	8	2	4	15	3	15	9	20	2	8	6	6	4	6	2	2	3	2	5	2	20	3	0	22	4	13	2	8	1	13	3	1	4	6	12	11	21	4	22	1	14	13	9	2	6	2	1	2	11	3	1	1	10	2	1	8	21	0	15	24	6	6	16	7	7	4	23	2	2	3	17	1	7	4	6	6	6	6	1	5	4	1	9	6	1	2	5	24	7	0	3	6	2	3	9	0	6	1	6	2	13	3	0	3	3	2	14	6	1	4	2	3	24	16	20	2	2	6	5	3	2	2	0	9	0	12	4	7	20	2	13	5	17	7	1	1	2	0	6	69	8	9	6	38	12	4	1	10	2	3	1	2	22	3	5	12	1	7	1	1	4	2	24	6	30	8	6	4	0	16	31	6	12	4	2	4	13	7	8	11	6	9	1	0	2	0	4	1	0	11	4	3	1	2	4	5	7	1	0	2	4	2	10	1	8	21	0	4	3	1	1	3	9	0	0	8	10	2	0	1	3	3	2	3	10	11	2	2	1	3	5	5	12	6	4	7	3	4	4	5	20	5	6	0	0	9	27	1	16	36	2	3	4	0	2	3	3	1	9	0	2	7	10	5	9	0	8	7	5	6	13	11	8	0	3	2	9	4	43	23	1	8	4	15	1	17	0	2	2	15	1	10	16	0	1	2	0	4	8	6	8	9	12	8	2	31	4	1	29	5	0	4	1	5	2	19	8	5	5	19	4	0	3	1	3	14	7	4	25	12	20	3	0	4	6	6	10	0	2	9	7	9	13	4	1	20	6	2	2	8	2	3	4	1	4	3	0	1	7	18	3	20	23	1	5	4	2	0	8	7	0	0	2	4	6	2	7	0	1	8	5	2	0	2	13	10	0	3	33	1	6	9	7	20	2	5	9	25	7	23	6	1	1	18	1	1	2	15	6	2	6	3	1	3	33	20	6	1	8	3	4	3	1	6	2	23	5	2	9	11	0	14	6	3	9	0	4	25	3	6	6	10	1	4	3	10	2	5	34	4	2	34	1	4	0	1	2	14	8	5	9	7	5	1	0	26	7	2	8	4	20	4	14	40	21	9	1	0	5	1	8	5	10	27	2	16	5	0	31	2	2	10	13	0	10	2
Little Green Footballs	1	0	0	1	5	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	2	0	0	6	2	0	2	0	0	0	0	1	1	1	0	0	1	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	2	1	0	2	0	0	1	0	0	0	1	0	1	1	2	0	0	0	0	4	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	9	0	3	1	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	2	0	1	5	0	0	1	1	2	3	4	0	4	0	1	1	0	0	3	0	1	1	1	0	0	0	1	1	0	3	0	0	0	3	0	0	0	0	1	0	0	0	1	0	2	0	0	3	1	3	0	0	0	1	0	0	0	1	0	2	0	5	0	0	1	0	2	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	1	1	1	0	1	0	0	1	0	9	1	3	1	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	3	0	0	3	9	0	0	1	0	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	2	0	2	2	0	1	0	0	0	0	0	0	0	0	4	2	0	0	4	0	0	0	1	0	0	0	1	2	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	2	0	0	1	1	2	0	1	0	0	0	0	0	1	8	0	0	0	0	2	0	0	5	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	3	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	3	1	0	0	0	1	0	1	0	0	9	2	0	1	0	0	0	1	0	2	1	0	1	1	0	1	0	0	0	0	6	0	0	2	7	2	0	5	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	4	2	1	7	1	0	0	2	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0
